Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Duration (days)
1,2014,2014,25.541655092592592,29.291666666666668,12.999722222222221,7.0,1,"['Si', 'O', 'Fe', 'N', 'C']",3.750011574074076
2,2014,2014,192.83333333333334,195.58332175925926,20.0,13.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",2.7499884259259204
3,2014,2014,286.0,289.7499884259259,0.0,17.999722222222225,1,"['Si', 'O', 'Fe', 'N', 'C']",3.749988425925892
4,2014,2014,292.3333333333333,294.7916666666667,8.0,19.0,2,"['Fe', 'N', 'Si', 'C']",2.4583333333333712
5,2014,2014,327.7916550925926,329.875,18.999722222222225,21.0,1,"['Si', 'O', 'Fe', 'N', 'C']",2.0833449074074224
6,2015,2015,35.99998842592593,38.37498842592593,23.999722222222225,8.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",2.375
7,2015,2015,38.666666666666664,44.0,16.0,0.0,1,"['Si', 'O', 'Fe', 'N', 'C']",5.333333333333336
8,2015,2015,46.625,49.49998842592593,15.0,11.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",2.8749884259259275
9,2015,2015,84.04166666666667,88.95833333333333,1.0,23.0,1,"['Si', 'O', 'Fe', 'N', 'C']",4.916666666666657
10,2015,2015,89.91666666666667,92.74998842592592,22.0,17.999722222222225,1,"['Si', 'O', 'Fe', 'N', 'C']",2.833321759259249
11,2015,2015,92.875,96.45832175925926,21.0,10.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",3.583321759259263
12,2015,2015,96.87498842592592,99.58332175925926,20.999722222222225,13.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",2.708333333333343
13,2015,2015,109.33332175925926,111.79165509259259,7.999722222222222,18.999722222222225,1,"['Si', 'O', 'Fe', 'N', 'C']",2.4583333333333286
14,2016,2016,50.03232638888888,52.442384259259256,0.7758333333333334,10.617222222222223,1,"['Si', 'O', 'Fe', 'N', 'C']",2.4100578703703732
15,2016,2016,55.93282407407408,58.509097222222216,22.387777777777778,12.218333333333334,1,"['Si', 'O', 'Fe', 'N', 'C']",2.5762731481481396
16,2016,2016,168.33321759259258,170.8679398148148,7.997222222222223,20.830555555555556,1,"['Si', 'O', 'Fe', 'N', 'C']",2.5347222222222285
17,2016,2016,171.408125,175.06476851851852,9.795,1.5544444444444445,1,"['Si', 'O', 'Fe', 'N', 'C']",3.656643518518507
18,2016,2016,193.43112268518516,196.17359953703703,10.346944444444444,4.166388888888889,1,"['Si', 'O', 'Fe', 'N', 'C']",2.742476851851876
19,2017,2017,182.6666550925926,184.7916550925926,15.999722222222221,18.999722222222225,1,"['Si', 'O', 'Fe', 'N', 'C']",2.125
20,2022,2022,30.666666666666668,34.375,16.0,9.0,1,"['Si', 'O', 'Fe', 'N', 'C']",3.708333333333332
21,2022,2022,141.25,143.41666666666666,6.0,10.0,1,"['Si', 'O', 'Fe', 'N', 'C']",2.166666666666657
22,2022,2022,171.70832175925926,174.41666666666666,16.999722222222225,10.0,1,"['Si', 'O', 'Fe', 'N', 'C']",2.708344907407394
23,2022,2022,255.1666550925926,258.2916666666667,3.999722222222222,7.0,3,"['Fe', 'N', 'Si']",3.1250115740740796
24,2023,2023,39.375,42.04165509259259,9.0,0.9997222222222222,1,"['Si', 'O', 'Fe', 'N', 'C']",2.666655092592592
25,2023,2023,246.74998842592595,249.20832175925926,17.999722222222225,4.999722222222222,1,"['Si', 'O', 'Fe', 'N', 'C']",2.4583333333333144
26,2023,2023,293.2499884259259,295.4166550925926,5.999722222222222,9.999722222222221,1,"['Si', 'O', 'Fe', 'N', 'C']",2.1666666666666856
27,2024,2024,150.50704861111112,152.79245370370367,12.169166666666666,19.01888888888889,1,"['Si', 'O', 'Fe', 'N', 'C']",2.285405092592555
28,2024,2024,154.99475694444445,158.60984953703706,23.874166666666667,14.636388888888888,1,"['Si', 'O', 'Fe', 'N', 'C']",3.6150925925926174
