Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
75,2004,2004,255.42792824074075,262.78277777777777,10.270277777777778,18.78666666666667,5,['Fe'],Exponential Decay,-0.9919071452379392,-0.8854502760914584,"(Timestamp('2004-09-13 05:09:10.956962'), Timestamp('2004-09-18 21:46:43.127036'))","(Timestamp('2004-09-13 11:08:11.937123'), Timestamp('2004-09-19 03:45:44.107197'))"
76,2004,2004,303.2552314814815,308.947962962963,6.125555555555555,22.75111111111111,5,['Si'],Exponential Decay,-0.9654411655108038,-0.857705649456108,"(Timestamp('2004-10-30 00:04:35.425920'), Timestamp('2004-11-03 16:46:03.990722'))","(Timestamp('2004-10-30 01:04:25.484161'), Timestamp('2004-11-03 17:45:54.048963'))"
77,2004,2004,308.8648611111111,326.1092824074074,20.756666666666668,2.622777777777778,6,[],Exponential Decay,-0.9843414072846772,-0.821394661482064,"(Timestamp('2004-11-08 21:25:34.515838'), Timestamp('2004-11-21 04:37:02.975518'))","(Timestamp('2004-11-08 06:28:02.065443'), Timestamp('2004-11-20 13:39:30.525123'))"
78,2005,2005,15.999988425925928,20.374988425925924,23.999722222222225,8.999722222222221,6,[],Irregular Decay,-0.728466439467624,-0.5748471420526884,"(Timestamp('2005-01-17 15:59:59.985602'), Timestamp('2005-01-20 10:00:00.093600'))","(Timestamp('2005-01-17 23:00:00.087838'), Timestamp('2005-01-20 16:59:59.880479'))"
79,2005,2005,20.95833333333333,26.08332175925926,23.0,1.9997222222222224,6,[],Exponential Decay,-0.9774925110749305,-0.9618716755758728,"(Timestamp('2005-01-21 22:00:00.123843'), Timestamp('2005-01-25 01:00:00.002880'))","(Timestamp('2005-01-22 12:00:00.012958'), Timestamp('2005-01-25 14:59:59.892003'))"
80,2005,2005,125.41666666666669,130.9166550925926,10.0,21.999722222222225,4,"['N', 'Si']",Exponential Decay,-0.9267919623980108,-0.838124024069336,"(Timestamp('2005-05-06 16:00:00.080638'), Timestamp('2005-05-11 01:59:59.871836'))","(Timestamp('2005-05-07 05:59:59.969761'), Timestamp('2005-05-11 16:00:00.076322'))"
81,2005,2005,133.62498842592595,142.74998842592595,14.99972222222222,17.999722222222225,4,"['Si', 'Fe']",Exponential Decay,-0.9848783548158121,-0.9202864717894096,"(Timestamp('2005-05-15 06:00:00.025917'), Timestamp('2005-05-22 03:00:00.138241'))","(Timestamp('2005-05-15 02:00:00.057596'), Timestamp('2005-05-21 22:59:59.854556'))"
82,2005,2005,193.49998842592595,203.74998842592595,11.99972222222222,17.999722222222225,6,[],Exponential Decay,-0.9825825626076907,-0.8403529424179542,"(Timestamp('2005-07-15 12:00:00.051840'), Timestamp('2005-07-23 08:00:00.139682'))","(Timestamp('2005-07-15 14:59:59.870399'), Timestamp('2005-07-23 10:59:59.958241'))"
83,2005,2005,208.2916550925926,215.8333217592593,6.999722222222222,19.999722222222225,6,[],Exponential Decay,-0.9121792587830561,-0.7083280119521291,"(Timestamp('2005-07-29 15:00:00.047520'), Timestamp('2005-08-04 14:59:59.853121'))","(Timestamp('2005-07-29 15:00:00.047520'), Timestamp('2005-08-04 14:59:59.853121'))"
84,2005,2005,233.6666550925926,241.9166550925926,15.99972222222222,21.999722222222225,6,[],Exponential Decay,-0.9746866882779517,-0.9547906154650112,"(Timestamp('2005-08-23 07:00:00.089278'), Timestamp('2005-08-29 15:00:00.146878'))","(Timestamp('2005-08-24 06:59:59.899203'), Timestamp('2005-08-30 14:59:59.956802'))"
