Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
106,1999,1999,287.95832175925926,295.5416550925926,22.999722222222225,12.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
114,1999,1999,321.4583333333333,329.1249884259259,11.0,2.999722222222222,3,"['Si', 'Fe', 'N']"
115,1999,1999,329.6666550925926,332.70832175925926,15.999722222222221,16.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
116,1999,1999,332.45832175925926,338.08332175925926,10.999722222222221,1.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
117,1999,1999,337.6249884259259,343.2916666666667,14.999722222222221,7.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
118,1999,1999,343.7916550925926,347.83332175925926,18.999722222222225,19.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
120,1999,1999,358.08332175925926,360.8333333333333,1.9997222222222222,20.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
121,1999,1999,362.0,364.625,0.0,15.0,3,"['Si', 'C', 'N']"
122,1999,2000,364.20832175925926,6.443414351851851,4.999722222222222,10.641944444444444,1,"['Fe', 'C', 'Si', 'O', 'N']"
124,2000,2000,9.185902777777779,15.211064814814815,4.461666666666667,5.065555555555555,3,"['Si', 'Fe', 'N']"
125,2000,2000,18.07820601851852,25.059074074074076,1.8769444444444445,1.4177777777777778,1,"['Fe', 'C', 'Si', 'O', 'N']"
126,2000,2000,26.388773148148147,36.77697916666666,9.330555555555556,18.6475,3,"['Si', 'Fe', 'N']"
127,2000,2000,41.30622685185185,47.33138888888889,7.349444444444444,7.953333333333333,1,"['Fe', 'C', 'Si', 'O', 'N']"
128,2000,2000,48.53642361111111,54.35381944444445,12.874166666666667,8.491666666666665,1,"['Fe', 'C', 'Si', 'O', 'N']"
129,2000,2000,54.104502314814816,61.833333333333336,2.5080555555555555,20.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
130,2000,2000,62.207303240740735,67.15209490740742,4.9752777777777775,3.6502777777777777,1,"['Fe', 'C', 'Si', 'O', 'N']"
132,2000,2000,76.5014699074074,81.44626157407409,12.035277777777777,10.710277777777778,1,"['Fe', 'C', 'Si', 'O', 'N']"
133,2000,2000,82.11109953703703,90.54633101851852,2.6663888888888887,13.111944444444443,3,"['Si', 'Fe', 'N']"
134,2000,2000,95.32490740740741,103.1783912037037,7.797777777777777,4.2813888888888885,6,[]
136,2000,2000,107.04280092592593,113.23416666666665,1.0272222222222223,5.62,1,"['Fe', 'C', 'Si', 'O', 'N']"
137,2000,2000,113.77436342592593,117.38945601851852,18.584722222222222,9.346944444444444,1,"['Fe', 'C', 'Si', 'O', 'N']"
