Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
1,1998,1998,111.58333333333331,118.62498842592592,14.0,14.99972222222222,6,[]
2,1998,1998,119.4166550925926,126.2916550925926,9.99972222222222,6.999722222222222,6,[]
3,1998,1998,126.1666550925926,129.24998842592595,3.999722222222222,5.999722222222222,4,"['Si', 'N']"
4,1998,1998,128.79166666666666,136.08332175925926,19.0,1.9997222222222224,6,[]
5,1998,1998,167.58332175925926,173.37498842592595,13.99972222222222,8.999722222222221,4,"['Si', 'Fe']"
6,1998,1998,236.625,244.66666666666663,15.0,16.0,6,[]
7,1998,1998,270.2499884259259,273.625,5.999722222222222,15.0,3,"['Si', 'Fe', 'N']"
8,1998,1998,273.2499884259259,285.08332175925926,5.999722222222222,1.9997222222222224,6,[]
9,1998,1998,291.20832175925926,299.0,4.999722222222222,0.0,3,"['Si', 'C', 'N']"
10,1998,1998,309.45832175925926,316.83332175925926,10.99972222222222,19.999722222222225,5,['Fe']
11,1998,1998,317.9999884259259,326.2916666666667,23.999722222222225,7.0,6,[]
12,1998,1998,330.2499884259259,332.3749884259259,5.999722222222222,8.999722222222221,3,"['Si', 'Fe', 'N']"
13,1999,1999,22.58332175925926,32.37498842592593,13.99972222222222,8.999722222222221,4,"['Si', 'Fe']"
14,1999,1999,114.4166550925926,120.08333333333331,9.99972222222222,2.0,4,"['Si', 'Fe']"
15,1999,1999,123.875,134.75,21.0,18.0,4,"['Si', 'Fe']"
16,1999,1999,153.20832175925926,155.375,4.999722222222222,9.0,6,[]
17,1999,1999,155.08333333333334,161.5,2.0,12.0,6,[]
18,1999,1999,321.4583333333333,329.1249884259259,11.0,2.999722222222222,3,"['Si', 'Fe', 'N']"
19,1999,1999,362.0,364.625,0.0,15.0,3,"['Si', 'C', 'N']"
20,2000,2000,9.18590277777778,15.211064814814817,4.461666666666667,5.065555555555555,3,"['Si', 'Fe', 'N']"
21,2000,2000,26.388773148148147,36.77697916666666,9.330555555555556,18.6475,3,"['Si', 'Fe', 'N']"
22,2000,2000,82.11109953703703,90.54633101851852,2.6663888888888887,13.111944444444443,3,"['Si', 'Fe', 'N']"
23,2000,2000,95.3249074074074,103.1783912037037,7.797777777777777,4.2813888888888885,6,[]
24,2000,2000,136.46219907407408,140.8667939814815,11.092777777777778,20.80305555555556,3,"['Si', 'Fe', 'N']"
25,2000,2000,157.94501157407404,167.33594907407408,22.68027777777778,8.062777777777779,4,"['Si', 'Fe']"
26,2000,2000,166.5879976851852,173.27799768518517,14.111944444444443,6.671944444444445,3,"['Si', 'Fe', 'N']"
27,2000,2000,176.80998842592592,182.5858333333333,19.439722222222223,14.06,3,"['Si', 'Fe', 'N']"
28,2000,2000,195.7165277777778,202.6142939814815,17.196666666666665,14.743055555555555,6,[]
29,2000,2000,204.02709490740745,207.51752314814811,0.6502777777777778,12.420555555555556,4,"['Si', 'Fe']"
30,2000,2000,209.01342592592596,214.24908564814817,0.3222222222222222,5.978055555555556,3,"['Si', 'Fe', 'N']"
31,2000,2000,255.38637731481484,270.4284953703704,9.273055555555556,10.283888888888889,6,[]
32,2000,2000,289.459699074074,296.5236805555556,11.03277777777778,12.568333333333332,6,[]
33,2000,2000,298.76752314814814,303.0059143518518,18.42055555555556,0.1419444444444444,6,[]
34,2000,2000,302.75659722222224,311.77356481481485,18.15833333333333,18.565555555555555,4,"['Si', 'Fe']"
35,2000,2000,312.97858796296293,321.16449074074075,23.48611111111111,3.947777777777778,6,[]
36,2000,2000,321.4969212962963,323.5745601851852,11.92611111111111,13.789444444444444,3,"['Si', 'Fe', 'N']"
37,2000,2000,329.43350694444445,334.17053240740745,10.404166666666669,4.092777777777777,6,[]
38,2000,2000,333.79655092592594,342.35643518518515,19.11722222222222,8.554444444444446,4,"['Si', 'Fe']"
39,2001,2001,22.124988425925924,25.75,2.999722222222222,18.0,4,"['Si', 'N']"
40,2001,2001,28.70832175925926,36.04166666666666,16.999722222222225,1.0,6,[]
41,2001,2001,69.24998842592592,76.24998842592592,5.999722222222222,5.999722222222222,3,"['Si', 'Fe', 'N']"
42,2001,2001,88.37498842592592,92.20832175925926,8.999722222222221,4.999722222222222,6,[]
43,2001,2001,92.70833333333331,97.49998842592592,17.0,11.99972222222222,6,[]
44,2001,2001,97.20832175925926,100.33333333333331,4.999722222222222,8.0,5,['Fe']
45,2001,2001,101.45832175925926,105.625,10.99972222222222,15.0,6,[]
46,2001,2001,105.625,108.37498842592592,15.0,8.999722222222221,6,[]
47,2001,2001,107.9166550925926,116.62498842592592,21.999722222222225,14.99972222222222,6,[]
48,2001,2001,116.5,119.87498842592592,12.0,20.999722222222225,3,"['Si', 'Fe', 'N']"
49,2001,2001,127.49998842592592,133.5416550925926,11.99972222222222,12.99972222222222,6,[]
50,2001,2001,152.83333333333334,155.33332175925926,20.0,7.999722222222222,3,"['Si', 'Fe', 'N']"
51,2001,2001,167.29166666666666,173.08333333333334,7.0,2.0,5,['Fe']
52,2001,2001,221.62498842592595,226.74998842592595,14.99972222222222,17.999722222222225,5,['Fe']
53,2001,2001,228.12498842592595,232.5,2.999722222222222,12.0,6,[]
54,2001,2001,232.7916550925926,239.62498842592595,18.999722222222225,14.99972222222222,5,['Fe']
55,2001,2001,268.4999884259259,274.1249884259259,11.99972222222222,2.999722222222222,6,[]
56,2001,2001,273.9166550925926,280.2916666666667,21.999722222222225,7.0,6,[]
57,2001,2001,282.70832175925926,288.4166550925926,16.999722222222225,9.99972222222222,4,"['Si', 'Fe']"
